n,f(n) = 100 n log(n),g(n) = n^2
637,593375.0271,405769
638,594450.9248,407044
639,595527.0485,408321
640,596603.3981,409600
641,597679.973,410881
642,598756.7731,412164
643,599833.7978,413449
644,600911.047,414736
645,601988.5201,416025
646,603066.2169,417316
647,604144.1371,418609
648,605222.2802,419904
649,606300.646,421201
650,607379.234,422500
651,608458.044,423801
652,609537.0757,425104
653,610616.3286,426409
654,611695.8024,427716
655,612775.4968,429025
656,613855.4115,430336
657,614935.5461,431649
658,616015.9003,432964
659,617096.4738,434281
660,618177.2661,435600
661,619258.2771,436921
662,620339.5063,438244
663,621420.9535,439569
664,622502.6182,440896
665,623584.5003,442225
666,624666.5992,443556
667,625748.9148,444889
668,626831.4467,446224
669,627914.1946,447561
670,628997.1581,448900
671,630080.337,450241
672,631163.7308,451584
673,632247.3393,452929
674,633331.1623,454276
675,634415.1992,455625
676,635499.4499,456976
677,636583.914,458329
678,637668.5912,459684
679,638753.4812,461041
680,639838.5837,462400
681,640923.8983,463761
682,642009.4248,465124
683,643095.1628,466489
684,644181.112,467856
685,645267.2722,469225
686,646353.643,470596
687,647440.224,471969
688,648527.0151,473344
689,649614.0159,474721
690,650701.2261,476100
691,651788.6453,477481
692,652876.2734,478864
693,653964.1099,480249
694,655052.1546,481636
695,656140.4071,483025
696,657228.8673,484416
697,658317.5348,485809
698,659406.4092,487204
699,660495.4903,488601
700,661584.7778,490000
701,662674.2714,491401
702,663763.9709,492804
703,664853.8758,494209
704,665943.986,495616
705,667034.301,497025
706,668124.8208,498436
707,669215.5448,499849
708,670306.4729,501264
709,671397.6048,502681
710,672488.9402,504100
711,673580.4788,505521
712,674672.2203,506944
713,675764.1644,508369
714,676856.3109,509796
715,677948.6594,511225
716,679041.2097,512656
717,680133.9614,514089
718,681226.9144,515524
719,682320.0684,516961
720,683413.4229,518400
721,684506.9779,519841
722,685600.7329,521284
723,686694.6878,522729
724,687788.8422,524176
725,688883.1959,525625
726,689977.7486,527076
727,691072.5,528529
728,692167.4498,529984
729,693262.5978,531441
730,694357.9437,532900
731,695453.4873,534361
732,696549.2282,535824
733,697645.1662,537289
734,698741.301,538756
735,699837.6323,540225
736,700934.16,541696
737,702030.8836,543169
738,703127.803,544644
739,704224.918,546121
740,705322.2281,547600
741,706419.7332,549081
742,707517.4329,550564
743,708615.3272,552049
744,709713.4155,553536
745,710811.6978,555025
746,711910.1738,556516
747,713008.8431,558009
748,714107.7056,559504
749,715206.7609,561001
750,716306.0089,562500
751,717405.4492,564001
752,718505.0816,565504
753,719604.9059,567009
754,720704.9218,568516
755,721805.129,570025
756,722905.5273,571536
757,724006.1164,573049
758,725106.8961,574564
759,726207.8661,576081
760,727309.0262,577600
761,728410.3762,579121
762,729511.9157,580644
763,730613.6445,582169
764,731715.5625,583696
765,732817.6692,585225
766,733919.9646,586756
767,735022.4483,588289
768,736125.1201,589824
769,737227.9797,591361
770,738331.0269,592900
771,739434.2615,594441
772,740537.6833,595984
773,741641.2919,597529
774,742745.0871,599076
775,743849.0688,600625
776,744953.2366,602176
777,746057.5903,603729
778,747162.1296,605284
779,748266.8545,606841
780,749371.7645,608400
781,750476.8594,609961
782,751582.1391,611524
783,752687.6033,613089
784,753793.2518,614656
785,754899.0842,616225
786,756005.1005,617796
787,757111.3003,619369
788,758217.6834,620944
789,759324.2496,622521
790,760430.9986,624100
791,761537.9303,625681
792,762645.0443,627264
793,763752.3405,628849
794,764859.8187,630436
795,765967.4785,632025
796,767075.3198,633616
797,768183.3423,635209
798,769291.5459,636804
799,770399.9303,638401
800,771508.4952,640000
801,772617.2404,641601
802,773726.1658,643204
803,774835.2711,644809
804,775944.556,646416
805,777054.0203,648025
806,778163.6639,649636
807,779273.4865,651249
808,780383.4878,652864
809,781493.6677,654481
810,782604.0259,656100
811,783714.5623,657721
812,784825.2765,659344
813,785936.1684,660969
814,787047.2377,662596
815,788158.4843,664225
816,789269.9079,665856
817,790381.5083,667489
818,791493.2853,669124
819,792605.2387,670761
820,793717.3682,672400
821,794829.6736,674041
822,795942.1548,675684
823,797054.8115,677329
824,798167.6434,678976
825,799280.6505,680625
826,800393.8324,682276
827,801507.189,683929
828,802620.7201,685584
829,803734.4254,687241
830,804848.3047,688900
831,805962.3578,690561
832,807076.5845,692224
833,808190.9847,693889
834,809305.558,695556
835,810420.3043,697225
836,811535.2234,698896
837,812650.3151,700569
838,813765.5791,702244
839,814881.0153,703921
840,815996.6235,705600
841,817112.4034,707281
842,818228.3548,708964
843,819344.4776,710649
844,820460.7715,712336
845,821577.2364,714025
846,822693.872,715716
847,823810.6781,717409
848,824927.6545,719104
849,826044.8011,720801
850,827162.1176,722500
851,828279.6039,724201
852,829397.2596,725904
853,830515.0847,727609
854,831633.079,729316
855,832751.2421,731025
856,833869.574,732736
857,834988.0745,734449
858,836106.7433,736164
859,837225.5802,737881
860,838344.5851,739600
861,839463.7577,741321
862,840583.0979,743044
863,841702.6055,744769
864,842822.2802,746496
865,843942.1219,748225
866,845062.1304,749956
867,846182.3055,751689
868,847302.647,753424
869,848423.1547,755161
870,849543.8284,756900
871,850664.6679,758641
872,851785.6731,760384
873,852906.8437,762129
874,854028.1796,763876
875,855149.6806,765625
876,856271.3464,767376
877,857393.1769,769129
878,858515.172,770884
879,859637.3313,772641
880,860759.6548,774400
881,861882.1422,776161
882,863004.7934,777924
883,864127.6081,779689
884,865250.5863,781456
885,866373.7276,783225
886,867497.0319,784996
887,868620.4991,786769
888,869744.1289,788544
889,870867.9212,790321
890,871991.8758,792100
891,873115.9925,793881
892,874240.2711,795664
893,875364.7114,797449
894,876489.3133,799236
895,877614.0766,801025
896,878739.001,802816
897,879864.0865,804609
898,880989.3328,806404
899,882114.7398,808201
900,883240.3072,810000
901,884366.035,811801
902,885491.9228,813604
903,886617.9706,815409
904,887744.1782,817216
905,888870.5454,819025
906,889997.0719,820836
907,891123.7578,822649
908,892250.6026,824464
909,893377.6064,826281
910,894504.7689,828100
911,895632.0899,829921
912,896759.5693,831744
913,897887.2069,833569
914,899015.0025,835396
915,900142.9559,837225
916,901271.067,839056
917,902399.3356,840889
918,903527.7615,842724
919,904656.3446,844561
920,905785.0847,846400
921,906913.9816,848241
922,908043.0351,850084
923,909172.2451,851929
924,910301.6114,853776
925,911431.1339,855625
